shapeName,shapeISO,shapeID,shapeGroup,shapeType,under18_sum,valid_cell_count,worldpop_valid_cells
Alto Molocue,,85939544B55280380491119,MOZ,ADM2,213755.0625,363972,True
Ancuabe,,85939544B12924931865401,MOZ,ADM2,92980.0078125,51808,True
Angoche,,85939544B28799715012212,MOZ,ADM2,204043.0,81424,True
Angonia,,85939544B12573256040215,MOZ,ADM2,263586.8125,180952,True
Balama,,85939544B22682737370097,MOZ,ADM2,103711.765625,45246,True
Barue,,85939544B78941967379031,MOZ,ADM2,114021.890625,153155,True
Bilene,,85939544B43586850524471,MOZ,ADM2,57542.3125,39717,True
Boane,,85939544B68927430168058,MOZ,ADM2,100631.7578125,55852,True
Buzi,,85939544B98429522964184,MOZ,ADM2,103365.0546875,227309,True
Cahora Bassa,,85939544B63348478902842,MOZ,ADM2,73532.875,69686,True
Caia,,85939544B71313946873981,MOZ,ADM2,97468.328125,63442,True
Changara,,85939544B96154885816761,MOZ,ADM2,74486.875,78193,True
Chemba,,85939544B96550484342715,MOZ,ADM2,52900.3203125,59096,True
Cheringoma,,85939544B41216917110496,MOZ,ADM2,36763.953125,37129,True
Chibabava,,85939544B25886081823580,MOZ,ADM2,80586.5625,219326,True
Chibuto,,85939544B98651386750815,MOZ,ADM2,120944.890625,142716,True
Chicualacuala,,85939544B15867606683535,MOZ,ADM2,15709.1103515625,26665,True
Chifunde,,85939544B38440784035247,MOZ,ADM2,94028.2109375,110258,True
Chigubo,,85939544B66615302004978,MOZ,ADM2,10106.416015625,38619,True
Chimbonila,,85939544B92418523619922,MOZ,ADM2,44414.22265625,164366,True
Chinde,,85939544B82585183947830,MOZ,ADM2,50252.2890625,35230,True
Chiure,,85939544B26812417695120,MOZ,ADM2,172697.453125,87080,True
Chiuta,,85939544B4853369515096,MOZ,ADM2,61578.859375,82783,True
Chokwe,,85939544B8547864433088,MOZ,ADM2,120913.1484375,45603,True
Chongoene,,85939544B23893317259127,MOZ,ADM2,84097.015625,98017,True
Cidade Da Beira,,85939544B78683919401949,MOZ,ADM2,291995.78125,31719,True
Cidade Da Matola,,85939544B308430160587,MOZ,ADM2,473215.625,46310,True
Cidade De Chimoio,,85939544B35135302322965,MOZ,ADM2,200853.75,16162,True
Cidade De Inhambane,,85939544B19302565001464,MOZ,ADM2,40248.58203125,18817,True
Cidade De Lichinga,,85939544B62365198391986,MOZ,ADM2,140149.0,17103,True
Cidade De Maputo,,85939544B59479814848654,MOZ,ADM2,442010.875,32065,True
