shapeID,shapeName,shapeGroup,shapeType,under18_sum,valid_cell_count,adm2_join_name,has_ipc_2022_data,province,ipc_area,analysis_date,current_from,current_to,population_analyzed_current,phase3plus_number_current,phase3plus_fraction_current,phase3plus_percent_current,under18_phase3plus_exposure_proxy_2022
85939544B55280380491119,Alto Molocue,MOZ,ADM2,213755.0625,363972,alto molocue,True,Zambezia,Alto molocue,Nov 2022,2022-10-01,2023-03-31,414502.0,20725.0,0.05,5.0,10687.753125000001
85939544B12924931865401,Ancuabe,MOZ,ADM2,92980.0078125,51808,ancuabe,False,,,,,,,,,,
85939544B28799715012212,Angoche,MOZ,ADM2,204043.0,81424,angoche,True,Nampula,Angoche,Nov 2022,2022-10-01,2023-03-31,420569.0,126170.0,0.3,30.0,61212.899999999994
85939544B12573256040215,Angonia,MOZ,ADM2,263586.8125,180952,angonia,True,Tete,Angonia,Nov 2022,2022-10-01,2023-03-31,566990.0,17009.0,0.03,3.0,7907.604375
85939544B22682737370097,Balama,MOZ,ADM2,103711.765625,45246,balama,False,,,,,,,,,,
85939544B78941967379031,Barue,MOZ,ADM2,114021.890625,153155,barue,True,Manica,Barue,Nov 2022,2022-10-01,2023-03-31,229325.0,11466.0,0.05,5.0,5701.094531250001
85939544B43586850524471,Bilene,MOZ,ADM2,57542.3125,39717,bilene,False,,,,,,,,,,
85939544B68927430168058,Boane,MOZ,ADM2,100631.7578125,55852,boane,True,Maputo,Boane,Nov 2022,2022-10-01,2023-03-31,273433.0,54686.0,0.2,20.0,20126.3515625
85939544B98429522964184,Buzi,MOZ,ADM2,103365.0546875,227309,buzi,True,Sofala,Buzi,Nov 2022,2022-10-01,2023-03-31,212275.0,10613.0,0.05,5.0,5168.252734375001
85939544B63348478902842,Cahora Bassa,MOZ,ADM2,73532.875,69686,cahora bassa,True,Tete,Cahora Bassa,Nov 2022,2022-10-01,2023-03-31,167310.0,16731.0,0.1,10.0,7353.2875
85939544B71313946873981,Caia,MOZ,ADM2,97468.328125,63442,caia,True,Sofala,Caia,Nov 2022,2022-10-01,2023-03-31,190386.0,9519.0,0.05,5.0,4873.41640625
85939544B96154885816761,Changara,MOZ,ADM2,74486.875,78193,changara,True,Tete,Changara,Nov 2022,2022-10-01,2023-03-31,142236.0,21335.0,0.15,15.0,11173.03125
85939544B96550484342715,Chemba,MOZ,ADM2,52900.3203125,59096,chemba,True,Sofala,Chemba,Nov 2022,2022-10-01,2023-03-31,99089.0,14863.0,0.15,15.0,7935.048046874999
85939544B41216917110496,Cheringoma,MOZ,ADM2,36763.953125,37129,cheringoma,True,Sofala,Cheringoma,Nov 2022,2022-10-01,2023-03-31,70038.0,7003.0,0.1,10.0,3676.3953125000003
85939544B25886081823580,Chibabava,MOZ,ADM2,80586.5625,219326,chibabava,True,Sofala,Chibabava,Nov 2022,2022-10-01,2023-03-31,160851.0,32169.0,0.2,20.0,16117.3125
85939544B98651386750815,Chibuto,MOZ,ADM2,120944.890625,142716,chibuto,True,Gaza,Chibuto,Nov 2022,2022-10-01,2023-03-31,232024.0,46404.0,0.2,20.0,24188.978125
85939544B15867606683535,Chicualacuala,MOZ,ADM2,15709.1103515625,26665,chicualacuala,True,Gaza,Chicualacuala,Nov 2022,2022-10-01,2023-03-31,29166.0,5833.0,0.2,20.0,3141.8220703125003
85939544B38440784035247,Chifunde,MOZ,ADM2,94028.2109375,110258,chifunde,True,Tete,Chifunde,Nov 2022,2022-10-01,2023-03-31,182239.0,18223.0,0.1,10.0,9402.82109375
85939544B66615302004978,Chigubo,MOZ,ADM2,10106.416015625,38619,chigubo,True,Gaza,Chigubo,Nov 2022,2022-10-01,2023-03-31,22600.0,4520.0,0.2,20.0,2021.283203125
85939544B92418523619922,Chimbonila,MOZ,ADM2,44414.22265625,164366,chimbonila,True,Niassa,Chimbonila,Nov 2022,2022-10-01,2023-03-31,91533.0,0.0,0.0,0.0,0.0
85939544B82585183947830,Chinde,MOZ,ADM2,50252.2890625,35230,chinde,True,Zambezia,Chinde,Nov 2022,2022-10-01,2023-03-31,103313.0,5165.0,0.05,5.0,2512.614453125
85939544B26812417695120,Chiure,MOZ,ADM2,172697.453125,87080,chiure,False,,,,,,,,,,
85939544B4853369515096,Chiuta,MOZ,ADM2,61578.859375,82783,chiuta,True,Tete,Chiuta,Nov 2022,2022-10-01,2023-03-31,117122.0,17568.0,0.15,15.0,9236.828906249999
85939544B8547864433088,Chokwe,MOZ,ADM2,120913.1484375,45603,chokwe,True,Gaza,Chokwe,Nov 2022,2022-10-01,2023-03-31,237671.0,35650.0,0.15,15.0,18136.972265624998
85939544B23893317259127,Chongoene,MOZ,ADM2,84097.015625,98017,chongoene,True,Gaza,Chongoene,Nov 2022,2022-10-01,2023-03-31,121661.0,6083.0,0.05,5.0,4204.85078125
85939544B78683919401949,Cidade Da Beira,MOZ,ADM2,291995.78125,31719,cidade da beira,True,Sofala,Cidade da Beira,Nov 2022,2022-10-01,2023-03-31,719806.0,35990.0,0.05,5.0,14599.7890625
85939544B308430160587,Cidade Da Matola,MOZ,ADM2,473215.625,46310,cidade da matola,True,Maputo,Matola city,Nov 2022,2022-10-01,2023-03-31,1341515.0,0.0,0.0,0.0,0.0
85939544B35135302322965,Cidade De Chimoio,MOZ,ADM2,200853.75,16162,cidade de chimoio,True,Manica,Chimoio city,Nov 2022,2022-10-01,2023-03-31,497653.0,0.0,0.0,0.0,0.0
85939544B19302565001464,Cidade De Inhambane,MOZ,ADM2,40248.58203125,18817,cidade de inhambane,True,Inhambane,Inhambane city,Nov 2022,2022-10-01,2023-03-31,98257.0,4912.0,0.05,5.0,2012.4291015625001
85939544B62365198391986,Cidade De Lichinga,MOZ,ADM2,140149.0,17103,cidade de lichinga,True,Niassa,Lichinga city,Nov 2022,2022-10-01,2023-03-31,324279.0,16213.0,0.05,5.0,7007.450000000001
85939544B59479814848654,Cidade De Maputo,MOZ,ADM2,442010.875,32065,cidade de maputo,False,,,,,,,,,,
85939544B70859422468328,Cidade De Nampula,MOZ,ADM2,425966.875,30442,cidade de nampula,True,Nampula,Nampula city,Nov 2022,2022-10-01,2023-03-31,957596.0,143639.0,0.15,15.0,63895.03125
85939544B58572468312701,Cidade De Pemba,MOZ,ADM2,108447.5859375,7360,cidade de pemba,True,Cabo Delgado,Cidade de pemba,Nov 2022,2022-10-01,2023-03-31,251759.0,121352.0,0.48,48.0,52054.84125
85939544B40669081557189,Cidade De Quelimane,MOZ,ADM2,185691.0,7230,cidade de quelimane,True,Zambezia,Quelimane,Nov 2022,2022-10-01,2023-03-31,421844.0,21092.0,0.05,5.0,9284.550000000001
85939544B33116803936279,Cidade De Tete,MOZ,ADM2,162020.34375,16771,cidade de tete,True,Tete,Tete city,Nov 2022,2022-10-01,2023-03-31,499387.0,0.0,0.0,0.0,0.0
85939544B37239521731461,Cidade De Xai-Xai,MOZ,ADM2,69943.125,7762,cidade de xai-xai,True,Gaza,Xai-xai city,Nov 2022,2022-10-01,2023-03-31,163259.0,8162.0,0.05,5.0,3497.15625
85939544B95923837460414,Cuamba,MOZ,ADM2,161332.625,167266,cuamba,True,Niassa,Cuamba,Nov 2022,2022-10-01,2023-03-31,349576.0,0.0,0.0,0.0,0.0
85939544B72257349680566,Derre,MOZ,ADM2,68912.65625,128349,derre,True,Zambezia,Derre,Nov 2022,2022-10-01,2023-03-31,131076.0,0.0,0.0,0.0,0.0
85939544B50674606181773,Doa,MOZ,ADM2,54914.4375,32805,doa,True,Tete,Doa,Nov 2022,2022-10-01,2023-03-31,100631.0,25157.0,0.25,25.0,13728.609375
85939544B17350721147016,Dondo,MOZ,ADM2,106366.953125,73133,dondo,True,Sofala,Dondo,Nov 2022,2022-10-01,2023-03-31,236825.0,11841.0,0.05,5.0,5318.34765625
85939544B1665883546251,Erati,MOZ,ADM2,224586.15625,183672,erati,True,Nampula,Erati,Nov 2022,2022-10-01,2023-03-31,459396.0,22969.0,0.05,5.0,11229.307812500001
85939544B45831091528789,Funhalouro,MOZ,ADM2,24671.009765625,72275,funhalouro,True,Inhambane,Funhalouro,Nov 2022,2022-10-01,2023-03-31,46119.0,11528.0,0.25,25.0,6167.75244140625
85939544B5310870224650,Gile,MOZ,ADM2,131742.125,217325,gile,True,Zambezia,Gile,Nov 2022,2022-10-01,2023-03-31,255529.0,12776.0,0.05,5.0,6587.106250000001
85939544B20117006553770,Gondola,MOZ,ADM2,91195.046875,145068,gondola,True,Manica,Gondola,Nov 2022,2022-10-01,2023-03-31,236855.0,11842.0,0.05,5.0,4559.75234375
85939544B94652077383293,Gorongosa,MOZ,ADM2,112424.6875,120804,gorongosa,True,Sofala,Gorongosa,Nov 2022,2022-10-01,2023-03-31,213069.0,10653.0,0.05,5.0,5621.234375
85939544B19130781251351,Govuro,MOZ,ADM2,20001.087890625,30100,govuro,True,Inhambane,Govuro,Nov 2022,2022-10-01,2023-03-31,37972.0,5695.0,0.15,15.0,3000.16318359375
85939544B1211152631593,Guija,MOZ,ADM2,53496.015625,53005,guija,True,Gaza,Guija,Nov 2022,2022-10-01,2023-03-31,93185.0,23296.0,0.25,25.0,13374.00390625
85939544B86319968156717,Guro,MOZ,ADM2,61807.1796875,77338,guro,True,Manica,Guro,Nov 2022,2022-10-01,2023-03-31,114365.0,0.0,0.0,0.0,0.0
85939544B52550879093260,Gurue,MOZ,ADM2,251897.59375,310634,gurue,True,Zambezia,Gurue,Nov 2022,2022-10-01,2023-03-31,503427.0,25171.0,0.05,5.0,12594.8796875
85939544B9969435799517,Homoine,MOZ,ADM2,63245.3515625,131914,homoine,True,Inhambane,Homoine,Nov 2022,2022-10-01,2023-03-31,121918.0,12190.0,0.1,10.0,6324.53515625
85939544B72266919853878,Ibo,MOZ,ADM2,5953.359375,1586,ibo,False,Cabo Delgado,Ibo,Nov 2022,2022-10-01,2023-03-31,0.0,,,,
85939544B3686787806290,Ile,MOZ,ADM2,115639.609375,244251,ile,True,Zambezia,Ile,Nov 2022,2022-10-01,2023-03-31,230358.0,11517.0,0.05,5.0,5781.98046875
85939544B37446089230364,Ilha De Moçambique,MOZ,ADM2,36344.359375,7452,ilha de mocambique,True,Nampula,Ilha de Mocambique,Nov 2022,2022-10-01,2023-03-31,83977.0,16795.0,0.2,20.0,7268.871875000001
85939544B53859921366962,Ilha Licom,MOZ,ADM2,,0,ilha licom,False,,,,,,,,,,
85939544B49635827229265,Ilha Risunodo,MOZ,ADM2,,0,ilha risunodo,False,,,,,,,,,,
85939544B69817996790019,Inharrime,MOZ,ADM2,64788.95703125,120171,inharrime,True,Inhambane,Inharrime,Nov 2022,2022-10-01,2023-03-31,120564.0,6028.0,0.05,5.0,3239.4478515625
85939544B58581363474884,Inhassoro,MOZ,ADM2,30629.44921875,57967,inhassoro,True,Inhambane,Inhassoro,Nov 2022,2022-10-01,2023-03-31,61699.0,3084.0,0.05,5.0,1531.4724609375
85939544B84899286441367,Inhassunge,MOZ,ADM2,50337.97265625,24607,inhassunge,True,Zambezia,Inhassunge,Nov 2022,2022-10-01,2023-03-31,107500.0,16125.0,0.15,15.0,7550.6958984375
85939544B63223307878319,Jangamo,MOZ,ADM2,59385.265625,91532,jangamo,True,Inhambane,Jangamo,Nov 2022,2022-10-01,2023-03-31,110011.0,5500.0,0.05,5.0,2969.26328125
85939544B52795804394919,Lago,MOZ,ADM2,62009.33984375,46277,lago,True,Niassa,Lago,Nov 2022,2022-10-01,2023-03-31,136579.0,0.0,0.0,0.0,0.0
85939544B11916103118899,Lago Niassa,MOZ,ADM2,1746.8076171875,1167,lago niassa,False,,,,,,,,,,
85939544B71599092008043,Lalaua,MOZ,ADM2,67173.625,91471,lalaua,True,Nampula,Lalaua,Nov 2022,2022-10-01,2023-03-31,125849.0,12584.0,0.1,10.0,6717.3625
85939544B26264863650897,Larde,MOZ,ADM2,59811.671875,32129,larde,True,Nampula,Larde,Nov 2022,2022-10-01,2023-03-31,112320.0,14601.0,0.13,13.0,7775.517343750001
85939544B55875453752427,Limpopo,MOZ,ADM2,101645.859375,53981,limpopo,True,Gaza,Limpopo,Nov 2022,2022-10-01,2023-03-31,153875.0,7693.0,0.05,5.0,5082.29296875
85939544B62807674730552,Liúpo,MOZ,ADM2,53789.65234375,39049,liupo,True,Nampula,Liupo,Nov 2022,2022-10-01,2023-03-31,104622.0,20924.0,0.2,20.0,10757.93046875
85939544B83504353793512,Luabo,MOZ,ADM2,35554.48828125,22564,luabo,True,Zambezia,Luabo,Nov 2022,2022-10-01,2023-03-31,69789.0,3489.0,0.05,5.0,1777.7244140625
85939544B172449318268,Lugela,MOZ,ADM2,111432.9765625,202456,lugela,True,Zambezia,Lugela,Nov 2022,2022-10-01,2023-03-31,217887.0,21788.0,0.1,10.0,11143.29765625
85939544B83676990250137,Mabalane,MOZ,ADM2,22990.578125,24708,mabalane,True,Gaza,Mabalane,Nov 2022,2022-10-01,2023-03-31,39550.0,7909.0,0.2,20.0,4598.115625
85939544B65323255513357,Mabote,MOZ,ADM2,28604.515625,63911,mabote,True,Inhambane,Mabote,Nov 2022,2022-10-01,2023-03-31,53313.0,13327.0,0.25,25.0,7151.12890625
85939544B71238690131788,Macanga,MOZ,ADM2,95454.1875,216285,macanga,True,Tete,Macanga,Nov 2022,2022-10-01,2023-03-31,183660.0,18366.0,0.1,10.0,9545.41875
85939544B829507062217,Macate,MOZ,ADM2,51265.92578125,110102,macate,True,Manica,Macate,Nov 2022,2022-10-01,2023-03-31,99432.0,0.0,0.0,0.0,0.0
85939544B66501899539367,Machanga,MOZ,ADM2,32388.732421875,36103,machanga,True,Sofala,Machanga,Nov 2022,2022-10-01,2023-03-31,66461.0,3323.0,0.05,5.0,1619.43662109375
85939544B88211826741163,Machaze,MOZ,ADM2,77079.5,284259,machaze,True,Manica,Machaze,Nov 2022,2022-10-01,2023-03-31,148784.0,29756.0,0.2,20.0,15415.900000000001
85939544B2345621089228,Macomia,MOZ,ADM2,63236.61328125,18770,macomia,False,Cabo Delgado,Macomia,Nov 2022,2022-10-01,2023-03-31,0.0,,,,
85939544B71036498933536,Macossa,MOZ,ADM2,30139.115234375,43409,macossa,True,Manica,Macossa,Nov 2022,2022-10-01,2023-03-31,54309.0,2715.0,0.05,5.0,1506.9557617187502
85939544B26352047498043,Maganja Da Costa,MOZ,ADM2,88627.625,89380,maganja da costa,True,Zambezia,Maganja da costa,Nov 2022,2022-10-01,2023-03-31,173883.0,34776.0,0.2,20.0,17725.525
85939544B26060528055494,Magoe,MOZ,ADM2,50858.578125,51185,magoe,True,Tete,Magoe,Nov 2022,2022-10-01,2023-03-31,103214.0,10321.0,0.1,10.0,5085.8578125
85939544B12261721998883,Magude,MOZ,ADM2,33189.859375,60398,magude,True,Maputo,Magude,Nov 2022,2022-10-01,2023-03-31,80946.0,8094.0,0.1,10.0,3318.9859375
85939544B16952446601864,Majune,MOZ,ADM2,24593.91015625,21887,majune,True,Niassa,Majune,Nov 2022,2022-10-01,2023-03-31,50504.0,0.0,0.0,0.0,0.0
85939544B80247740523844,Malema,MOZ,ADM2,128499.484375,193915,malema,True,Nampula,Malema,Nov 2022,2022-10-01,2023-03-31,258793.0,12939.0,0.05,5.0,6424.974218750001
85939544B48761792497071,Mandimba,MOZ,ADM2,131677.296875,100960,mandimba,True,Niassa,Mandimba,Nov 2022,2022-10-01,2023-03-31,271771.0,13588.0,0.05,5.0,6583.864843750001
85939544B24219595709494,Mandlakaze,MOZ,ADM2,56835.09375,119161,mandlakaze,True,Gaza,Mandlakaze,Nov 2022,2022-10-01,2023-03-31,141974.0,0.0,0.0,0.0,0.0
85939544B91620585279817,Manhiça,MOZ,ADM2,107888.546875,81695,manhica,True,Maputo,Manhica,Nov 2022,2022-10-01,2023-03-31,266435.0,5328.0,0.02,2.0,2157.7709375
85939544B32725727804377,Manica,MOZ,ADM2,126637.8984375,124780,manica,True,Manica,Manica,Nov 2022,2022-10-01,2023-03-31,274082.0,0.0,0.0,0.0,0.0
85939544B45935423796795,Mapai,MOZ,ADM2,19270.74609375,36131,mapai,True,Gaza,Mapai,Nov 2022,2022-10-01,2023-03-31,29106.0,5821.0,0.2,20.0,3854.1492187500003
85939544B65123265698186,Maquival,MOZ,ADM2,26556.638671875,28001,maquival,False,,,,,,,,,,
85939544B55684561557182,Marara,MOZ,ADM2,44541.984375,66213,marara,True,Tete,Marara,Nov 2022,2022-10-01,2023-03-31,84429.0,12664.0,0.15,15.0,6681.29765625
85939544B82621359487865,Maravia,MOZ,ADM2,78038.890625,77466,maravia,True,Tete,Maravia,Nov 2022,2022-10-01,2023-03-31,146380.0,14638.0,0.1,10.0,7803.8890625
85939544B35485552295049,Maringue,MOZ,ADM2,61360.640625,98850,maringue,True,Sofala,Maringue,Nov 2022,2022-10-01,2023-03-31,113484.0,5674.0,0.05,5.0,3068.0320312500003
85939544B2591372162698,Marracuene,MOZ,ADM2,109422.546875,39417,marracuene,True,Maputo,Marracuene,Nov 2022,2022-10-01,2023-03-31,284327.0,0.0,0.0,0.0,0.0
85939544B84282844658581,Marromeu,MOZ,ADM2,93968.2109375,59122,marromeu,True,Sofala,Marromeu,Nov 2022,2022-10-01,2023-03-31,187740.0,9387.0,0.05,5.0,4698.410546875
85939544B26738067837562,Marrupa,MOZ,ADM2,47270.6796875,79909,marrupa,True,Niassa,Marrupa,Nov 2022,2022-10-01,2023-03-31,99897.0,4994.0,0.05,5.0,2363.5339843750003
85939544B81330952052148,Massangena,MOZ,ADM2,11658.72265625,25467,massangena,True,Gaza,Massangena,Nov 2022,2022-10-01,2023-03-31,22069.0,4413.0,0.2,20.0,2331.74453125
85939544B96403406066950,Massinga,MOZ,ADM2,125423.765625,307946,massinga,True,Inhambane,Massinga,Nov 2022,2022-10-01,2023-03-31,255429.0,12771.0,0.05,5.0,6271.188281250001
85939544B66771942168992,Massingir,MOZ,ADM2,21659.197265625,12778,massingir,True,Gaza,Massingir,Nov 2022,2022-10-01,2023-03-31,37614.0,7522.0,0.2,20.0,4331.839453125001
85939544B97303459234614,Matutuine,MOZ,ADM2,20829.626953125,59045,matutuine,True,Maputo,Matutuine,Nov 2022,2022-10-01,2023-03-31,56763.0,8514.0,0.15,15.0,3124.4440429687497
85939544B33000714085001,Maua,MOZ,ADM2,41819.02734375,63328,maua,True,Niassa,Maua,Nov 2022,2022-10-01,2023-03-31,86178.0,0.0,0.0,0.0,0.0
85939544B69199020344442,Mavago,MOZ,ADM2,19195.85546875,19643,mavago,True,Niassa,Mavago,Nov 2022,2022-10-01,2023-03-31,37790.0,0.0,0.0,0.0,0.0
85939544B37735984540105,Maxixe,MOZ,ADM2,65371.5859375,27189,maxixe,True,Inhambane,Maxixe city,Nov 2022,2022-10-01,2023-03-31,155521.0,7776.0,0.05,5.0,3268.579296875
85939544B26392807278532,Mecanhelas,MOZ,ADM2,173262.15625,164419,mecanhelas,True,Niassa,Mecanhelas,Nov 2022,2022-10-01,2023-03-31,341587.0,0.0,0.0,0.0,0.0
85939544B84793619782311,Meconta,MOZ,ADM2,132665.453125,139022,meconta,True,Nampula,Meconta,Nov 2022,2022-10-01,2023-03-31,270314.0,54062.0,0.2,20.0,26533.090625
85939544B36345946298130,Mecuburi,MOZ,ADM2,126988.3125,154774,mecuburi,True,Nampula,Mecuburi,Nov 2022,2022-10-01,2023-03-31,242959.0,12147.0,0.05,5.0,6349.415625000001
85939544B73793826279493,Mecufi,MOZ,ADM2,36566.421875,16448,mecufi,False,,,,,,,,,,
85939544B86519405521682,Mecula,MOZ,ADM2,12019.1201171875,14341,mecula,True,Niassa,Mecula,Nov 2022,2022-10-01,2023-03-31,26372.0,5273.0,0.2,20.0,2403.8240234375003
85939544B29216683074298,Meluco,MOZ,ADM2,21276.921875,14629,meluco,False,Cabo Delgado,Meluco,Nov 2022,2022-10-01,2023-03-31,0.0,,,,
85939544B76219123027909,Memba,MOZ,ADM2,198206.15625,123095,memba,True,Nampula,Memba,Nov 2022,2022-10-01,2023-03-31,384984.0,46197.0,0.12,12.0,23784.73875
85939544B27352268742856,Metarica,MOZ,ADM2,28236.9453125,43807,metarica,True,Niassa,Metarica,Nov 2022,2022-10-01,2023-03-31,57196.0,0.0,0.0,0.0,0.0
85939544B43724113746926,Metuge,MOZ,ADM2,49729.4296875,10570,metuge,False,,,,,,,,,,
85939544B24654814708458,Milange,MOZ,ADM2,363712.4375,351980,milange,True,Zambezia,Milange,Nov 2022,2022-10-01,2023-03-31,713553.0,35677.0,0.05,5.0,18185.621875
85939544B51879158696861,Moamba,MOZ,ADM2,42826.38671875,93002,moamba,True,Maputo,Moamba,Nov 2022,2022-10-01,2023-03-31,115127.0,23025.0,0.2,20.0,8565.27734375
85939544B94790467869630,Moatize,MOZ,ADM2,153534.53125,127283,moatize,True,Tete,Moatize,Nov 2022,2022-10-01,2023-03-31,331950.0,33195.0,0.1,10.0,15353.453125
