shapeName,shapeID,under18_sum,valid_cell_count,worldpop_valid_cells,has_ipc_current_data,province,ipc_area,analysis_date,current_from,current_to,population_analyzed_current,phase3plus_number_current,phase3plus_fraction_current,phase3plus_percent_current,under18_phase3plus_exposure_proxy
Alto Molocue,85939544B55280380491119,213755.0625,363972,True,False,,,,,,,,,,
Ancuabe,85939544B12924931865401,92980.0078125,51808,True,True,Cabo Delgado,Ancuabe,Jul 2026,2026-07-01,2026-09-30,206125.0,30919.0,0.15,15.0,13947.001171875
Angoche,85939544B28799715012212,204043.0,81424,True,False,,,,,,,,,,
Angonia,85939544B12573256040215,263586.8125,180952,True,False,,,,,,,,,,
Balama,85939544B22682737370097,103711.765625,45246,True,False,,,,,,,,,,
Barue,85939544B78941967379031,114021.890625,153155,True,False,,,,,,,,,,
Bilene,85939544B43586850524471,57542.3125,39717,True,False,,,,,,,,,,
Boane,85939544B68927430168058,100631.7578125,55852,True,False,,,,,,,,,,
Buzi,85939544B98429522964184,103365.0546875,227309,True,True,Sofala,Buzi,Jul 2026,2026-07-01,2026-09-30,229141.0,57285.0,0.25,25.0,25841.263671875
Cahora Bassa,85939544B63348478902842,73532.875,69686,True,True,Tete,Cahora Bassa,Jul 2026,2026-07-01,2026-09-30,184617.0,27693.0,0.15,15.0,11029.93125
Caia,85939544B71313946873981,97468.328125,63442,True,False,,,,,,,,,,
Changara,85939544B96154885816761,74486.875,78193,True,False,,,,,,,,,,
Chemba,85939544B96550484342715,52900.3203125,59096,True,False,,,,,,,,,,
Cheringoma,85939544B41216917110496,36763.953125,37129,True,False,,,,,,,,,,
Chibabava,85939544B25886081823580,80586.5625,219326,True,True,Sofala,Chibabava,Jul 2026,2026-07-01,2026-09-30,173242.0,25986.0,0.15,15.0,12087.984375
Chibuto,85939544B98651386750815,120944.890625,142716,True,True,Gaza,Chibuto,Jul 2026,2026-07-01,2026-09-30,238148.0,47629.0,0.2,20.0,24188.978125
Chicualacuala,85939544B15867606683535,15709.1103515625,26665,True,False,,,,,,,,,,
Chifunde,85939544B38440784035247,94028.2109375,110258,True,False,,,,,,,,,,
Chigubo,85939544B66615302004978,10106.416015625,38619,True,False,,,,,,,,,,
Chimbonila,85939544B92418523619922,44414.22265625,164366,True,False,,,,,,,,,,
Chinde,85939544B82585183947830,50252.2890625,35230,True,False,,,,,,,,,,
Chiure,85939544B26812417695120,172697.453125,87080,True,True,Cabo Delgado,Chiure,Jul 2026,2026-07-01,2026-09-30,392649.0,78530.0,0.2,20.0,34539.490625
Chiuta,85939544B4853369515096,61578.859375,82783,True,False,,,,,,,,,,
Chokwe,85939544B8547864433088,120913.1484375,45603,True,True,Gaza,Chokwe,Jul 2026,2026-07-01,2026-09-30,246617.0,36993.0,0.15,15.0,18136.972265624998
Chongoene,85939544B23893317259127,84097.015625,98017,True,True,Gaza,Chongoene,Jul 2026,2026-07-01,2026-09-30,122383.0,12238.0,0.1,10.0,8409.7015625
Cidade Da Beira,85939544B78683919401949,291995.78125,31719,True,False,,,,,,,,,,
Cidade Da Matola,85939544B308430160587,473215.625,46310,True,False,,,,,,,,,,
Cidade De Chimoio,85939544B35135302322965,200853.75,16162,True,False,,,,,,,,,,
Cidade De Inhambane,85939544B19302565001464,40248.58203125,18817,True,False,,,,,,,,,,
Cidade De Lichinga,85939544B62365198391986,140149.0,17103,True,False,,,,,,,,,,
Cidade De Maputo,85939544B59479814848654,442010.875,32065,True,False,,,,,,,,,,
Cidade De Nampula,85939544B70859422468328,425966.875,30442,True,False,,,,,,,,,,
Cidade De Pemba,85939544B58572468312701,108447.5859375,7360,True,False,,,,,,,,,,
Cidade De Quelimane,85939544B40669081557189,185691.0,7230,True,False,,,,,,,,,,
Cidade De Tete,85939544B33116803936279,162020.34375,16771,True,False,,,,,,,,,,
Cidade De Xai-Xai,85939544B37239521731461,69943.125,7762,True,True,Gaza,Xai-Xai,Jul 2026,2026-07-01,2026-09-30,172913.0,8646.0,0.05,5.0,3497.15625
Cuamba,85939544B95923837460414,161332.625,167266,True,False,,,,,,,,,,
Derre,85939544B72257349680566,68912.65625,128349,True,False,,,,,,,,,,
Doa,85939544B50674606181773,54914.4375,32805,True,True,Tete,Doa,Jul 2026,2026-07-01,2026-09-30,108081.0,27020.0,0.25,25.0,13728.609375
Dondo,85939544B17350721147016,106366.953125,73133,True,False,,,,,,,,,,
Erati,85939544B1665883546251,224586.15625,183672,True,True,Nampula,Erati,Jul 2026,2026-07-01,2026-09-30,490923.0,49092.0,0.1,10.0,22458.615625000002
Funhalouro,85939544B45831091528789,24671.009765625,72275,True,False,,,,,,,,,,
Gile,85939544B5310870224650,131742.125,217325,True,False,,,,,,,,,,
Gondola,85939544B20117006553770,91195.046875,145068,True,False,,,,,,,,,,
Gorongosa,85939544B94652077383293,112424.6875,120804,True,False,,,,,,,,,,
Govuro,85939544B19130781251351,20001.087890625,30100,True,True,Inhambane,Govuro,Jul 2026,2026-07-01,2026-09-30,38561.0,5784.0,0.15,15.0,3000.16318359375
Guija,85939544B1211152631593,53496.015625,53005,True,True,Gaza,Guija,Jul 2026,2026-07-01,2026-09-30,94271.0,14141.0,0.15,15.0,8024.40234375
Guro,85939544B86319968156717,61807.1796875,77338,True,True,Manica,Guro,Jul 2026,2026-07-01,2026-09-30,121234.0,24247.0,0.2,20.0,12361.4359375
Gurue,85939544B52550879093260,251897.59375,310634,True,False,,,,,,,,,,
Homoine,85939544B9969435799517,63245.3515625,131914,True,False,,,,,,,,,,
