Date of analysis,Country,Total country population,Level 1,Area,Validity period,From,To,Phase,Number,Percentage
Jul 2026,MOZ,34958973,Tete,Zumbu,current,2026-07-01,2026-09-30,all,103235,1.0
Jul 2026,MOZ,34958973,Tete,Zumbu,current,2026-07-01,2026-09-30,3+,10324,0.1
Jul 2026,MOZ,34958973,Tete,Zumbu,current,2026-07-01,2026-09-30,1,36132,0.35
Jul 2026,MOZ,34958973,Tete,Zumbu,current,2026-07-01,2026-09-30,2,56779,0.55
Jul 2026,MOZ,34958973,Tete,Zumbu,current,2026-07-01,2026-09-30,3,10324,0.1
Jul 2026,MOZ,34958973,Tete,Zumbu,current,2026-07-01,2026-09-30,4,0,0
Jul 2026,MOZ,34958973,Tete,Zumbu,current,2026-07-01,2026-09-30,5,0,0
Jul 2026,MOZ,34958973,Tete,Zumbu,first projection,2026-10-01,2027-03-31,all,103235,1.0
Jul 2026,MOZ,34958973,Tete,Zumbu,first projection,2026-10-01,2027-03-31,3+,15485,0.15
Jul 2026,MOZ,34958973,Tete,Zumbu,first projection,2026-10-01,2027-03-31,1,30971,0.3
Jul 2026,MOZ,34958973,Tete,Zumbu,first projection,2026-10-01,2027-03-31,2,56779,0.55
Jul 2026,MOZ,34958973,Tete,Zumbu,first projection,2026-10-01,2027-03-31,3,15485,0.15
Jul 2026,MOZ,34958973,Tete,Zumbu,first projection,2026-10-01,2027-03-31,4,0,0
Jul 2026,MOZ,34958973,Tete,Zumbu,first projection,2026-10-01,2027-03-31,5,0,0
Jul 2026,MOZ,34958973,Tete,Cahora Bassa,current,2026-07-01,2026-09-30,all,184617,1.0
Jul 2026,MOZ,34958973,Tete,Cahora Bassa,current,2026-07-01,2026-09-30,3+,27693,0.15
Jul 2026,MOZ,34958973,Tete,Cahora Bassa,current,2026-07-01,2026-09-30,1,110770,0.6
Jul 2026,MOZ,34958973,Tete,Cahora Bassa,current,2026-07-01,2026-09-30,2,46154,0.25
Jul 2026,MOZ,34958973,Tete,Cahora Bassa,current,2026-07-01,2026-09-30,3,27693,0.15
Jul 2026,MOZ,34958973,Tete,Cahora Bassa,current,2026-07-01,2026-09-30,4,0,0
Jul 2026,MOZ,34958973,Tete,Cahora Bassa,current,2026-07-01,2026-09-30,5,0,0
Jul 2026,MOZ,34958973,Tete,Cahora Bassa,first projection,2026-10-01,2027-03-31,all,184617,1.0
Jul 2026,MOZ,34958973,Tete,Cahora Bassa,first projection,2026-10-01,2027-03-31,3+,36923,0.2
Jul 2026,MOZ,34958973,Tete,Cahora Bassa,first projection,2026-10-01,2027-03-31,1,73847,0.4
Jul 2026,MOZ,34958973,Tete,Cahora Bassa,first projection,2026-10-01,2027-03-31,2,73847,0.4
Jul 2026,MOZ,34958973,Tete,Cahora Bassa,first projection,2026-10-01,2027-03-31,3,36923,0.2
Jul 2026,MOZ,34958973,Tete,Cahora Bassa,first projection,2026-10-01,2027-03-31,4,0,0
Jul 2026,MOZ,34958973,Tete,Cahora Bassa,first projection,2026-10-01,2027-03-31,5,0,0
Jul 2026,MOZ,34958973,Tete,Doa,current,2026-07-01,2026-09-30,all,108081,1.0
Jul 2026,MOZ,34958973,Tete,Doa,current,2026-07-01,2026-09-30,3+,27020,0.25
Jul 2026,MOZ,34958973,Tete,Doa,current,2026-07-01,2026-09-30,1,48636,0.45
Jul 2026,MOZ,34958973,Tete,Doa,current,2026-07-01,2026-09-30,2,32424,0.3
Jul 2026,MOZ,34958973,Tete,Doa,current,2026-07-01,2026-09-30,3,21616,0.2
Jul 2026,MOZ,34958973,Tete,Doa,current,2026-07-01,2026-09-30,4,5404,0.05
Jul 2026,MOZ,34958973,Tete,Doa,current,2026-07-01,2026-09-30,5,0,0
Jul 2026,MOZ,34958973,Tete,Doa,first projection,2026-10-01,2027-03-31,all,108081,1.0
Jul 2026,MOZ,34958973,Tete,Doa,first projection,2026-10-01,2027-03-31,3+,32424,0.3
Jul 2026,MOZ,34958973,Tete,Doa,first projection,2026-10-01,2027-03-31,1,37828,0.35
Jul 2026,MOZ,34958973,Tete,Doa,first projection,2026-10-01,2027-03-31,2,37828,0.35
Jul 2026,MOZ,34958973,Tete,Doa,first projection,2026-10-01,2027-03-31,3,27020,0.25
Jul 2026,MOZ,34958973,Tete,Doa,first projection,2026-10-01,2027-03-31,4,5404,0.05
Jul 2026,MOZ,34958973,Tete,Doa,first projection,2026-10-01,2027-03-31,5,0,0
Jul 2026,MOZ,34958973,Tete,Moatize,current,2026-07-01,2026-09-30,all,364637,1.0
