Date of analysis,Country,Total country population,Level 1,Area,Current from,Current to,Population analyzed current,Phase 3+ number current,Phase 3+ percentage current,Phase 1 number current,Phase 1 percentage current,Phase 2 number current,Phase 2 percentage current,Phase 3 number current,Phase 3 percentage current,Phase 4 number current,Phase 4 percentage current,Phase 5 number current,Phase 5 percentage current,First projection from,First projection to,Population analyzed first projection,Phase 3+ number first projection,Phase 3+ percentage first projection,Phase 1 number first projection,Phase 1 percentage first projection,Phase 2 number first projection,Phase 2 percentage first projection,Phase 3 number first projection,Phase 3 percentage first projection,Phase 4 number first projection,Phase 4 percentage first projection,Phase 5 number first projection,Phase 5 percentage first projection,Second projection from,Second projection to,Population analyzed second projection,Phase 3+ number second projection,Phase 3+ percentage second projection,Phase 1 number second projection,Phase 1 percentage second projection,Phase 2 number second projection,Phase 2 percentage second projection,Phase 3 number second projection,Phase 3 percentage second projection,Phase 4 number second projection,Phase 4 percentage second projection,Phase 5 number second projection,Phase 5 percentage second projection
Jul 2026,MOZ,34958973,Tete,Zumbu,2026-07-01,2026-09-30,103235,10324,0.1,36132,0.35,56779,0.55,10324,0.1,0,0,0,0,2026-10-01,2027-03-31,103235,15485,0.15,30971,0.3,56779,0.55,15485,0.15,0,0,0,0,,,,,,,,,,,,,,,
Jul 2026,MOZ,34958973,Tete,Cahora Bassa,2026-07-01,2026-09-30,184617,27693,0.15,110770,0.6,46154,0.25,27693,0.15,0,0,0,0,2026-10-01,2027-03-31,184617,36923,0.2,73847,0.4,73847,0.4,36923,0.2,0,0,0,0,,,,,,,,,,,,,,,
Jul 2026,MOZ,34958973,Tete,Doa,2026-07-01,2026-09-30,108081,27020,0.25,48636,0.45,32424,0.3,21616,0.2,5404,0.05,0,0,2026-10-01,2027-03-31,108081,32424,0.3,37828,0.35,37828,0.35,27020,0.25,5404,0.05,0,0,,,,,,,,,,,,,,,
Jul 2026,MOZ,34958973,Tete,Moatize,2026-07-01,2026-09-30,364637,54696,0.15,145855,0.4,164087,0.45,54696,0.15,0,0,0,0,2026-10-01,2027-03-31,364637,91159,0.25,109391,0.3,164087,0.45,91159,0.25,0,0,0,0,,,,,,,,,,,,,,,
Jul 2026,MOZ,34958973,Tete,Mutarara,2026-07-01,2026-09-30,222038,55510,0.25,88815,0.4,77713,0.35,44408,0.2,11102,0.05,0,0,2026-10-01,2027-03-31,222038,66612,0.3,77713,0.35,77713,0.35,55510,0.25,11102,0.05,0,0,,,,,,,,,,,,,,,
Jul 2026,MOZ,34958973,Gaza,Massingir,2026-07-01,2026-09-30,37844,5677,0.15,17030,0.45,15138,0.4,5677,0.15,0,0,0,0,2026-10-01,2027-03-31,37844,9461,0.25,11353,0.3,17030,0.45,7569,0.2,1892,0.05,0,0,,,,,,,,,,,,,,,
Jul 2026,MOZ,34958973,Gaza,Chibuto,2026-07-01,2026-09-30,238148,47629,0.2,119074,0.5,71444,0.3,35722,0.15,11907,0.05,0,0,2026-10-01,2027-03-31,238148,59537,0.25,107167,0.45,71444,0.3,47630,0.2,11907,0.05,0,0,,,,,,,,,,,,,,,
Jul 2026,MOZ,34958973,Gaza,Chokwe,2026-07-01,2026-09-30,246617,36993,0.15,147970,0.6,61654,0.25,36993,0.15,0,0,0,0,2026-10-01,2027-03-31,246617,61654,0.25,110978,0.45,73985,0.3,49323,0.2,12331,0.05,0,0,,,,,,,,,,,,,,,
Jul 2026,MOZ,34958973,Gaza,Chongoene,2026-07-01,2026-09-30,122383,12238,0.1,61192,0.5,48953,0.4,12238,0.1,0,0,0,0,2026-10-01,2027-03-31,122383,30596,0.25,48953,0.4,42834,0.35,24477,0.2,6119,0.05,0,0,,,,,,,,,,,,,,,
Jul 2026,MOZ,34958973,Gaza,Guija,2026-07-01,2026-09-30,94271,14141,0.15,42422,0.45,37708,0.4,14141,0.15,0,0,0,0,2026-10-01,2027-03-31,94271,23568,0.25,32995,0.35,37708,0.4,18854,0.2,4714,0.05,0,0,,,,,,,,,,,,,,,
Jul 2026,MOZ,34958973,Gaza,Limpopo,2026-07-01,2026-09-30,154790,15479,0.1,92874,0.6,46437,0.3,15479,0.1,0,0,0,0,2026-10-01,2027-03-31,154790,30959,0.2,77395,0.5,46437,0.3,23219,0.15,7740,0.05,0,0,,,,,,,,,,,,,,,
Jul 2026,MOZ,34958973,Gaza,Mabalane,2026-07-01,2026-09-30,39791,5969,0.15,17906,0.45,15916,0.4,3979,0.1,1990,0.05,0,0,2026-10-01,2027-03-31,39791,11937,0.3,13927,0.35,13927,0.35,7958,0.2,3979,0.1,0,0,,,,,,,,,,,,,,,
Jul 2026,MOZ,34958973,Gaza,Xai-Xai,2026-07-01,2026-09-30,172913,8646,0.05,112393,0.65,51874,0.3,8646,0.05,0,0,0,0,2026-10-01,2027-03-31,172913,17291,0.1,112393,0.65,43228,0.25,17291,0.1,0,0,0,0,,,,,,,,,,,,,,,
Jul 2026,MOZ,34958973,Cabo Delgado,Nangade,2026-07-01,2026-09-30,116037,17406,0.15,58019,0.5,40613,0.35,17406,0.15,0,0,0,0,2026-10-01,2027-03-31,116037,23207,0.2,40613,0.35,52217,0.45,23207,0.2,0,0,0,0,,,,,,,,,,,,,,,
Jul 2026,MOZ,34958973,Cabo Delgado,Quissanga,2026-07-01,2026-09-30,65017,22756,0.35,19505,0.3,22756,0.35,16254,0.25,6502,0.1,0,0,2026-10-01,2027-03-31,65017,29258,0.45,6502,0.1,29258,0.45,19505,0.3,9753,0.15,0,0,,,,,,,,,,,,,,,
Jul 2026,MOZ,34958973,Cabo Delgado,Ancuabe,2026-07-01,2026-09-30,206125,30919,0.15,92756,0.45,82450,0.4,30919,0.15,0,0,0,0,2026-10-01,2027-03-31,206125,51531,0.25,72144,0.35,82450,0.4,41225,0.2,10306,0.05,0,0,,,,,,,,,,,,,,,
Jul 2026,MOZ,34958973,Cabo Delgado,Chiure,2026-07-01,2026-09-30,392649,78530,0.2,157060,0.4,157060,0.4,78530,0.2,0,0,0,0,2026-10-01,2027-03-31,392649,117794,0.3,137427,0.35,137427,0.35,98162,0.25,19632,0.05,0,0,,,,,,,,,,,,,,,
Jul 2026,MOZ,34958973,Cabo Delgado,Macomia,2026-07-01,2026-09-30,150592,60237,0.4,30118,0.2,60237,0.4,45178,0.3,15059,0.1,0,0,2026-10-01,2027-03-31,150592,52708,0.35,45178,0.3,52707,0.35,45178,0.3,7530,0.05,0,0,,,,,,,,,,,,,,,
Jul 2026,MOZ,34958973,Cabo Delgado,Mecufi,2026-07-01,2026-09-30,79587,11938,0.15,39794,0.5,27855,0.35,11938,0.15,0,0,0,0,2026-10-01,2027-03-31,79587,19896,0.25,23876,0.3,35814,0.45,15917,0.2,3979,0.05,0,0,,,,,,,,,,,,,,,
Jul 2026,MOZ,34958973,Cabo Delgado,Meluco,2026-07-01,2026-09-30,47478,9496,0.2,14243,0.3,23739,0.5,9496,0.2,0,0,0,0,2026-10-01,2027-03-31,47478,14244,0.3,11870,0.25,21365,0.45,11870,0.25,2374,0.05,0,0,,,,,,,,,,,,,,,
Jul 2026,MOZ,34958973,Cabo Delgado,Metuge,2026-07-01,2026-09-30,112373,11237,0.1,44949,0.4,56187,0.5,11237,0.1,0,0,0,0,2026-10-01,2027-03-31,112373,16856,0.15,44949,0.4,50568,0.45,16856,0.15,0,0,0,0,,,,,,,,,,,,,,,
Jul 2026,MOZ,34958973,Cabo Delgado,Mocimboa Da Praia,2026-07-01,2026-09-30,170873,68349,0.4,42718,0.25,59806,0.35,51262,0.3,17087,0.1,0,0,2026-10-01,2027-03-31,170873,93980,0.55,34175,0.2,42718,0.25,68349,0.4,25631,0.15,0,0,,,,,,,,,,,,,,,
Jul 2026,MOZ,34958973,Cabo Delgado,Mueda,2026-07-01,2026-09-30,225268,33790,0.15,90107,0.4,101371,0.45,33790,0.15,0,0,0,0,2026-10-01,2027-03-31,225268,45054,0.2,67580,0.3,112634,0.5,45054,0.2,0,0,0,0,,,,,,,,,,,,,,,
Jul 2026,MOZ,34958973,Cabo Delgado,Muidumbe,2026-07-01,2026-09-30,127879,12788,0.1,70333,0.55,44758,0.35,12788,0.1,0,0,0,0,2026-10-01,2027-03-31,127879,19182,0.15,57546,0.45,51152,0.4,19182,0.15,0,0,0,0,,,,,,,,,,,,,,,
Jul 2026,MOZ,34958973,Sofala,Nhamatanda,2026-07-01,2026-09-30,362887,54433,0.15,163299,0.45,145155,0.4,54433,0.15,0,0,0,0,2026-10-01,2027-03-31,362887,72577,0.2,127010,0.35,163299,0.45,54433,0.15,18144,0.05,0,0,,,,,,,,,,,,,,,
Jul 2026,MOZ,34958973,Sofala,Buzi,2026-07-01,2026-09-30,229141,57285,0.25,91656,0.4,80199,0.35,57285,0.25,0,0,0,0,2026-10-01,2027-03-31,229141,80199,0.35,68742,0.3,80199,0.35,68742,0.3,11457,0.05,0,0,,,,,,,,,,,,,,,
Jul 2026,MOZ,34958973,Sofala,Chibabava,2026-07-01,2026-09-30,173242,25986,0.15,69297,0.4,77959,0.45,25986,0.15,0,0,0,0,2026-10-01,2027-03-31,173242,43310,0.25,60635,0.35,69297,0.4,34648,0.2,8662,0.05,0,0,,,,,,,,,,,,,,,
Jul 2026,MOZ,34958973,Sofala,Machanga,2026-07-01,2026-09-30,71588,17897,0.25,21476,0.3,32215,0.45,14318,0.2,3579,0.05,0,0,2026-10-01,2027-03-31,71588,28635,0.4,7159,0.1,35794,0.5,21476,0.3,7159,0.1,0,0,,,,,,,,,,,,,,,
Jul 2026,MOZ,34958973,Sofala,Maringue,2026-07-01,2026-09-30,122240,18336,0.15,55008,0.45,48896,0.4,18336,0.15,0,0,0,0,2026-10-01,2027-03-31,122240,36672,0.3,30560,0.25,55008,0.45,30560,0.25,6112,0.05,0,0,,,,,,,,,,,,,,,
Jul 2026,MOZ,34958973,Sofala,Muanza,2026-07-01,2026-09-30,48987,14696,0.3,17145,0.35,17145,0.35,12247,0.25,2449,0.05,0,0,2026-10-01,2027-03-31,48987,19595,0.4,14696,0.3,14696,0.3,14696,0.3,4899,0.1,0,0,,,,,,,,,,,,,,,
Jul 2026,MOZ,34958973,Manica,Sussundenga,2026-07-01,2026-09-30,220976,22098,0.1,121537,0.55,77342,0.35,22098,0.1,0,0,0,0,2026-10-01,2027-03-31,220976,44195,0.2,88390,0.4,88390,0.4,44195,0.2,0,0,0,0,,,,,,,,,,,,,,,
